,Load: Load Number,Load: Created Date,Actual Pickup Date,Origin Zip Code,Destination Zip Code,Origin State,Destination State,Mode,Linear Feet,Total Weight,Distance (Miles),Total HU,Revenue (Mixed) Currency,Revenue (Mixed),Carrier Cost (Mixed) Currency,Carrier Cost (Mixed),Target buy rate,GS Network buy rate
85,SHP5072589,7/5/2024,7/8/2024,95776,28405,California,North Carolina,Partial Van (LTL Spot Market),27.0,6489.0,2917.43,15.0,USD,3575.67,USD,3400.0,5497.0,5144.0
86,SHP5069428,7/3/2024,7/5/2024,33166,77077,Florida,Texas,Partial Van (LTL Spot Market),0.01,1500.0,1207.59,1.0,USD,260.0,USD,230.0,1424.0,1445.0
87,SHP5068842,7/3/2024,7/8/2024,78041,48310,Texas,Michigan,Partial Van (LTL Spot Market),15.0,5834.0,1636.42,4.0,USD,1532.09,USD,1000.0,3199.0,3146.0
88,SHP5068760,7/3/2024,7/5/2024,33112,08527,Florida,New Jersey,Partial Van (LTL Spot Market),0.01,8000.0,1262.35,5.0,USD,1150.0,USD,1050.0,1992.0,1924.0
89,SHP5066768,7/3/2024,7/8/2024,32958,98032,Florida,Washington,Partial F/SD (LTL Spot Market),0.01,681.0,3196.0,1.0,USD,2620.0,USD,2300.0,5650.0,5824.0
90,SHP5066663,7/3/2024,7/8/2024,17517,78045,Pennsylvania,Texas,Partial Van (LTL Spot Market),16.67,15545.0,1858.37,9.0,USD,1723.58,USD,1300.0,2501.0,2379.0
91,SHP5065810,7/2/2024,7/8/2024,60431,78045,Illinois,Texas,Partial Van (LTL Spot Market),10.0,12567.0,1317.36,5.0,USD,1160.97,USD,950.0,2063.0,1991.0
92,SHP5064711,7/2/2024,7/8/2024,54220,78045,Wisconsin,Texas,Partial Van (LTL Spot Market),20.4,2265.0,1512.92,25.0,USD,1592.08,USD,1490.0,2331.0,2331.0
93,SHP5064628,7/2/2024,7/8/2024,54220,33178,Wisconsin,Florida,Partial Van (LTL Spot Market),25.01,4520.0,1561.99,62.0,USD,3250.0,USD,2800.0,3376.0,3323.0
94,SHP5063961,7/2/2024,7/2/2024,06469,33018,Connecticut,Florida,Partial Van (LTL Spot Market),24.07,7389.0,1400.39,8.0,USD,2394.0,USD,2000.0,2136.0,2003.0
95,SHP5062462,7/2/2024,7/2/2024,33309,78045,Florida,Texas,Partial F/SD (LTL Spot Market),0.01,870.0,1503.06,5.0,USD,1250.0,USD,1100.0,2385.0,2335.0
96,SHP5061983,7/1/2024,7/5/2024,77071,44286,Texas,Ohio,Partial F/SD (LTL Spot Market),0.01,900.0,1300.35,1.0,USD,1650.0,USD,1400.0,2835.0,2813.0
97,SHP5060402,7/1/2024,7/2/2024,41048,33122,Kentucky,Florida,Partial Van (LTL Spot Market),22.0,15710.0,1145.29,9.0,USD,2290.0,USD,2000.0,2900.0,2822.0
98,SHP5060102,7/1/2024,7/3/2024,77040,33016,Texas,Florida,Partial F/SD (LTL Spot Market),6.0,4305.0,1199.96,1.0,USD,1200.0,USD,930.0,2873.0,2790.0
99,SHP5057836,6/28/2024,7/1/2024,81001,90220,Colorado,California,Partial Van (LTL Spot Market),11.0,4146.0,1131.96,5.0,USD,915.34,USD,900.0,1278.0,1315.0
100,SHP5056847,6/28/2024,6/28/2024,78043,11418,Texas,New York,Partial Van (LTL Spot Market),12.0,9656.0,2008.5,8.0,USD,1721.61,USD,1680.0,4269.0,4089.0
101,SHP5056800,6/28/2024,7/1/2024,46534,78045,Indiana,Texas,Partial Van (LTL Spot Market),23.0,8400.0,1413.52,12.0,USD,1587.52,USD,1550.0,2146.0,2063.0
